Uhel (Stupne);Uhel (Radiany);Max Pnuti;Hustota Mostu;Status Mrizky
0;0.0;3.84;0.0;REPULZE (Odraz)
5;0.0873;3.84;0.0;REPULZE (Odraz)
10;0.1745;3.84;0.01;REPULZE (Odraz)
15;0.2618;3.84;0.01;REPULZE (Odraz)
20;0.3491;3.84;0.01;REPULZE (Odraz)
25;0.4363;3.84;0.01;REPULZE (Odraz)
30;0.5236;3.84;0.02;REPULZE (Odraz)
35;0.6109;3.84;0.02;REPULZE (Odraz)
40;0.6981;3.84;0.02;REPULZE (Odraz)
45;0.7854;3.84;0.02;REPULZE (Odraz)
50;0.8727;3.84;0.03;REPULZE (Odraz)
55;0.9599;3.84;0.03;REPULZE (Odraz)
60;1.0472;3.84;0.03;REPULZE (Odraz)
65;1.1345;3.84;0.03;REPULZE (Odraz)
70;1.2217;3.84;0.03;REPULZE (Odraz)
75;1.309;3.84;0.04;REPULZE (Odraz)
80;1.3963;3.84;0.04;REPULZE (Odraz)
85;1.4835;3.84;0.04;REPULZE (Odraz)
90;1.5708;3.84;0.04;REPULZE (Odraz)
95;1.6581;3.84;0.04;REPULZE (Odraz)
100;1.7453;3.84;0.05;REPULZE (Odraz)
105;1.8326;3.84;0.05;REPULZE (Odraz)
110;1.9199;3.84;0.05;REPULZE (Odraz)
115;2.0071;3.84;0.05;REPULZE (Odraz)
120;2.0944;3.84;0.05;REPULZE (Odraz)
125;2.1817;3.84;0.05;REPULZE (Odraz)
130;2.2689;3.84;0.05;REPULZE (Odraz)
135;2.3562;3.84;0.06;REPULZE (Odraz)
140;2.4435;3.84;0.06;REPULZE (Odraz)
145;2.5307;3.84;0.06;REPULZE (Odraz)
150;2.618;3.84;0.06;REPULZE (Odraz)
155;2.7053;3.84;0.06;REPULZE (Odraz)
160;2.7925;3.84;0.06;REPULZE (Odraz)
165;2.8798;3.84;0.06;REPULZE (Odraz)
170;2.9671;3.84;0.06;REPULZE (Odraz)
175;3.0543;3.84;0.06;REPULZE (Odraz)
180;3.1416;3.84;0.06;REPULZE (Odraz)
185;3.2289;3.84;0.06;REPULZE (Odraz)
190;3.3161;3.84;0.06;REPULZE (Odraz)
195;3.4034;3.84;0.06;REPULZE (Odraz)
200;3.4907;3.84;0.06;REPULZE (Odraz)
205;3.5779;3.84;0.06;REPULZE (Odraz)
210;3.6652;3.84;0.06;REPULZE (Odraz)
215;3.7525;3.84;0.06;REPULZE (Odraz)
220;3.8397;3.84;0.06;REPULZE (Odraz)
225;3.927;3.84;0.06;REPULZE (Odraz)
230;4.0143;3.84;0.05;REPULZE (Odraz)
235;4.1015;3.84;0.05;REPULZE (Odraz)
240;4.1888;3.84;0.05;REPULZE (Odraz)
245;4.2761;3.84;0.05;REPULZE (Odraz)
250;4.3633;3.84;0.05;REPULZE (Odraz)
255;4.4506;3.84;0.05;REPULZE (Odraz)
260;4.5379;3.84;0.05;REPULZE (Odraz)
265;4.6251;3.84;0.04;REPULZE (Odraz)
270;4.7124;3.84;0.04;REPULZE (Odraz)
275;4.7997;3.84;0.04;REPULZE (Odraz)
280;4.8869;3.84;0.04;REPULZE (Odraz)
285;4.9742;3.84;0.04;REPULZE (Odraz)
290;5.0615;3.84;0.03;REPULZE (Odraz)
295;5.1487;3.84;0.03;REPULZE (Odraz)
300;5.236;3.84;0.03;REPULZE (Odraz)
305;5.3233;3.84;0.03;REPULZE (Odraz)
310;5.4105;3.84;0.03;REPULZE (Odraz)
315;5.4978;3.84;0.02;REPULZE (Odraz)
320;5.5851;3.84;0.02;REPULZE (Odraz)
325;5.6723;3.84;0.02;REPULZE (Odraz)
330;5.7596;3.84;0.02;REPULZE (Odraz)
335;5.8469;3.84;0.01;REPULZE (Odraz)
340;5.9341;3.84;0.01;REPULZE (Odraz)
345;6.0214;3.84;0.01;REPULZE (Odraz)
350;6.1087;3.84;0.01;REPULZE (Odraz)
355;6.1959;3.84;0.0;REPULZE (Odraz)
360;6.2832;3.84;0.0;REPULZE (Odraz)
